key,country,site,cluster,plot,siteid,longitude,latitude,year,plotcultmgd,postoposeq,vegstructure,severeero,rdr50,trees,shrubs,cropland,forest,grassland,wooded_grassland,grasslandall,bushland,shrubland,wetland,dom_landuse,shheight,shlength,shwidth,scientificName,shrubspecies_common,key_1,subplot
uuid:7d5394f1-8587-4141-b944-5bc62da8f1b2,sri_lanka,matale,1,8,matale_1_8,80.5987,7.52077,2021,1,footslope,bushland,0,0,1,1,0,0,0,0,0,1,0,0,annual_agroforestry,2.6,0.8,0.7,Gliricidia sepium,weta mara,uuid:7d5394f1-8587-4141-b944-5bc62da8f1b2/supl1_shrb_data[1],1
uuid:7d5394f1-8587-4141-b944-5bc62da8f1b2,sri_lanka,matale,1,8,matale_1_8,80.5987,7.52077,2021,1,footslope,bushland,0,0,1,1,0,0,0,0,0,1,0,0,annual_agroforestry,2.5,0.9,0.6,Gliricidia sepium,weta mara,uuid:7d5394f1-8587-4141-b944-5bc62da8f1b2/supl1_shrb_data[2],1
uuid:7d5394f1-8587-4141-b944-5bc62da8f1b2,sri_lanka,matale,1,8,matale_1_8,80.5987,7.52077,2021,1,footslope,bushland,0,0,1,1,0,0,0,0,0,1,0,0,annual_agroforestry,2.5,1.1,0.6,Gliricidia sepium,weta mara,uuid:7d5394f1-8587-4141-b944-5bc62da8f1b2/supl1_shrb_data[3],1
uuid:7d5394f1-8587-4141-b944-5bc62da8f1b2,sri_lanka,matale,1,8,matale_1_8,80.5987,7.52077,2021,1,footslope,bushland,0,0,1,1,0,0,0,0,0,1,0,0,annual_agroforestry,2.5,0.6,0.4,Gliricidia sepium,weta mara,uuid:7d5394f1-8587-4141-b944-5bc62da8f1b2/supl1_shrb_data[4],1
uuid:7d5394f1-8587-4141-b944-5bc62da8f1b2,sri_lanka,matale,1,8,matale_1_8,80.5987,7.52077,2021,1,footslope,bushland,0,0,1,1,0,0,0,0,0,1,0,0,annual_agroforestry,2.4,0.7,0.5,Gliricidia sepium,weta mara,uuid:7d5394f1-8587-4141-b944-5bc62da8f1b2/supl1_shrb_data[5],1
uuid:c5257cc9-bb73-4f5e-93bc-1de79f4e1983,sri_lanka,matale,15,15,matale_15_15,80.6748,7.57212,2021,1,midslope,other,0,1,1,1,0,0,0,0,0,0,0,0,perennial_crop,2.4,1.4,0.7,Coffea arabica,kopi,uuid:c5257cc9-bb73-4f5e-93bc-1de79f4e1983/supl1_shrb_data[1],1
uuid:3c5f2115-8764-41de-87c1-179c2cf9a765,sri_lanka,matale,14,1,matale_14_1,80.6655,7.54733,2021,1,midslope,bushland,0,0,1,0,0,0,0,0,0,1,0,0,perennial_crop,2.2,1.6,0.7,Grewia damine,daminiya,uuid:3c5f2115-8764-41de-87c1-179c2cf9a765/supl1_shrb_data[1],1
uuid:3c5f2115-8764-41de-87c1-179c2cf9a765,sri_lanka,matale,14,1,matale_14_1,80.6655,7.54733,2021,1,midslope,bushland,0,0,1,0,0,0,0,0,0,1,0,0,perennial_crop,1.6,0.8,0.8,Gliricidia sepium,weta mara,uuid:3c5f2115-8764-41de-87c1-179c2cf9a765/supl1_shrb_data[2],1
uuid:f0208ee3-97a8-4b29-bf4c-39e47599cb29,sri_lanka,matale,9,14,matale_9_14,80.6526,7.515,2021,1,upland,woodland,0,1,1,1,0,0,0,0,0,0,0,0,woodlot,2.4,3.6,2.9,Theobroma cacao,kokowa,uuid:f0208ee3-97a8-4b29-bf4c-39e47599cb29/supl1_shrb_data[1],1
uuid:f0208ee3-97a8-4b29-bf4c-39e47599cb29,sri_lanka,matale,9,14,matale_9_14,80.6526,7.515,2021,1,upland,woodland,0,1,1,1,0,0,0,0,0,0,0,0,woodlot,2.7,3.3,3.1,Theobroma cacao,kokowa,uuid:f0208ee3-97a8-4b29-bf4c-39e47599cb29/supl1_shrb_data[2],1
uuid:74e31922-9dac-4e1e-b5ff-01ec41050089,sri_lanka,matale,1,15,matale_1_15,80.602,7.52601,2021,1,footslope,cropland,0,0,1,0,1,0,0,0,0,0,0,0,annual_crop,2.6,2.8,2.4,Musa x paradisaca,"kesel, banana",uuid:74e31922-9dac-4e1e-b5ff-01ec41050089/supl1_shrb_data[1],1
uuid:74e31922-9dac-4e1e-b5ff-01ec41050089,sri_lanka,matale,1,15,matale_1_15,80.602,7.52601,2021,1,footslope,cropland,0,0,1,0,1,0,0,0,0,0,0,0,annual_crop,2.2,2.4,2.2,Musa x paradisaca,"kesel, banana",uuid:74e31922-9dac-4e1e-b5ff-01ec41050089/supl1_shrb_data[2],1
uuid:700f84dd-7c83-4f9a-8f04-026ea41262cf,sri_lanka,matale,4,4,matale_4_4,80.6114,7.58833,2021,1,footslope,bushland,1,0,1,1,0,0,0,0,0,1,0,0,fallow,2.5,2.85,1.2,Allophylus cobbe,kobbe,uuid:700f84dd-7c83-4f9a-8f04-026ea41262cf/supl1_shrb_data[1],1
uuid:700f84dd-7c83-4f9a-8f04-026ea41262cf,sri_lanka,matale,4,4,matale_4_4,80.6114,7.58833,2021,1,footslope,bushland,1,0,1,1,0,0,0,0,0,1,0,0,fallow,1.8,2.1,1.4,Aparosa cardiosperma,kebella,uuid:700f84dd-7c83-4f9a-8f04-026ea41262cf/supl1_shrb_data[2],1
uuid:700f84dd-7c83-4f9a-8f04-026ea41262cf,sri_lanka,matale,4,4,matale_4_4,80.6114,7.58833,2021,1,footslope,bushland,1,0,1,1,0,0,0,0,0,1,0,0,fallow,2.0,1.6,1.2,Symplocos cochinchinensis,bombu,uuid:700f84dd-7c83-4f9a-8f04-026ea41262cf/supl1_shrb_data[3],1
uuid:700f84dd-7c83-4f9a-8f04-026ea41262cf,sri_lanka,matale,4,4,matale_4_4,80.6114,7.58833,2021,1,footslope,bushland,1,0,1,1,0,0,0,0,0,1,0,0,fallow,2.2,1.4,1.0,Crysophyllum cainito,kos-eta-lawulu,uuid:700f84dd-7c83-4f9a-8f04-026ea41262cf/supl1_shrb_data[4],1
uuid:700f84dd-7c83-4f9a-8f04-026ea41262cf,sri_lanka,matale,4,4,matale_4_4,80.6114,7.58833,2021,1,footslope,bushland,1,0,1,1,0,0,0,0,0,1,0,0,fallow,2.0,1.6,1.3,Mallotus philippensis,malabe,uuid:700f84dd-7c83-4f9a-8f04-026ea41262cf/supl1_shrb_data[5],1
uuid:700f84dd-7c83-4f9a-8f04-026ea41262cf,sri_lanka,matale,4,4,matale_4_4,80.6114,7.58833,2021,1,footslope,bushland,1,0,1,1,0,0,0,0,0,1,0,0,fallow,1.8,1.0,0.8,Cinnamon verum,"kurundu, cinnamon",uuid:700f84dd-7c83-4f9a-8f04-026ea41262cf/supl1_shrb_data[6],1
uuid:f127f574-6b2a-4aec-8e5c-5778963852f8,sri_lanka,matale,2,0,matale_2_0,80.607,7.5441,2021,0,footslope,woodland,0,1,1,1,0,0,0,0,0,0,0,0,fallow,2.9,2.6,1.8,Coffea arabica,kopi,uuid:f127f574-6b2a-4aec-8e5c-5778963852f8/supl1_shrb_data[1],1
uuid:f127f574-6b2a-4aec-8e5c-5778963852f8,sri_lanka,matale,2,0,matale_2_0,80.607,7.5441,2021,0,footslope,woodland,0,1,1,1,0,0,0,0,0,0,0,0,fallow,2.2,1.3,1.3,Ficus nervosa,kalu maduwa,uuid:f127f574-6b2a-4aec-8e5c-5778963852f8/supl1_shrb_data[2],1
uuid:f127f574-6b2a-4aec-8e5c-5778963852f8,sri_lanka,matale,2,0,matale_2_0,80.607,7.5441,2021,0,footslope,woodland,0,1,1,1,0,0,0,0,0,0,0,0,fallow,2.4,0.6,0.6,Ficus hispida,kota dimbula,uuid:f127f574-6b2a-4aec-8e5c-5778963852f8/supl1_shrb_data[3],1
uuid:f127f574-6b2a-4aec-8e5c-5778963852f8,sri_lanka,matale,2,0,matale_2_0,80.607,7.5441,2021,0,footslope,woodland,0,1,1,1,0,0,0,0,0,0,0,0,fallow,2.3,1.0,0.8,Hevea brasiliensis,rubber,uuid:f127f574-6b2a-4aec-8e5c-5778963852f8/supl1_shrb_data[4],1
uuid:f127f574-6b2a-4aec-8e5c-5778963852f8,sri_lanka,matale,2,0,matale_2_0,80.607,7.5441,2021,0,footslope,woodland,0,1,1,1,0,0,0,0,0,0,0,0,fallow,2.4,2.0,2.0,Murraya paniculata,atteriya,uuid:f127f574-6b2a-4aec-8e5c-5778963852f8/supl1_shrb_data[5],1
uuid:7e074461-e128-4917-b6a3-0da89dc3af58,sri_lanka,matale,16,1,matale_16_1,80.6688,7.59327,2021,1,midslope,woodland,0,1,1,1,0,0,0,0,0,0,0,0,perennial_crop,2.2,1.3,1.3,Coffea arabica,kopi,uuid:7e074461-e128-4917-b6a3-0da89dc3af58/supl1_shrb_data[1],1
uuid:7e074461-e128-4917-b6a3-0da89dc3af58,sri_lanka,matale,16,1,matale_16_1,80.6688,7.59327,2021,1,midslope,woodland,0,1,1,1,0,0,0,0,0,0,0,0,perennial_crop,1.8,1.0,1.0,Coffea arabica,kopi,uuid:7e074461-e128-4917-b6a3-0da89dc3af58/supl1_shrb_data[2],1
uuid:7e074461-e128-4917-b6a3-0da89dc3af58,sri_lanka,matale,16,1,matale_16_1,80.6688,7.59327,2021,1,midslope,woodland,0,1,1,1,0,0,0,0,0,0,0,0,perennial_crop,2.5,1.4,0.6,Gliricidia sepium,weta mara,uuid:7e074461-e128-4917-b6a3-0da89dc3af58/supl1_shrb_data[3],1
uuid:b3002311-01ad-4a28-940d-f2cf6b1fa456,sri_lanka,matale,8,12,matale_8_12,80.6271,7.58372,2021,1,bottomland,bushland,0,0,1,1,0,0,0,0,0,1,0,0,fallow,2.9,2.7,2.6,Coffea arabica,kopi,uuid:b3002311-01ad-4a28-940d-f2cf6b1fa456/supl1_shrb_data[1],1
uuid:b3002311-01ad-4a28-940d-f2cf6b1fa456,sri_lanka,matale,8,12,matale_8_12,80.6271,7.58372,2021,1,bottomland,bushland,0,0,1,1,0,0,0,0,0,1,0,0,fallow,2.3,1.7,1.4,Coffea arabica,kopi,uuid:b3002311-01ad-4a28-940d-f2cf6b1fa456/supl1_shrb_data[2],1
uuid:e9ff9791-4280-408d-802a-d3afb5ffba92,sri_lanka,matale,16,15,matale_16_15,80.673,7.58542,2021,1,bottomland,freshwater_aquatic,0,0,1,0,0,0,0,0,0,0,0,1,annual_crop,2.4,0.9,0.7,Leucaena leucocephala,ipil ipil,uuid:e9ff9791-4280-408d-802a-d3afb5ffba92/supl1_shrb_data[1],1
uuid:8bb8eafd-9587-4634-a545-70841c44dbe1,sri_lanka,matale,13,1,matale_13_1,80.6636,7.52177,2021,0,footslope,thicket,0,1,0,1,0,0,0,0,0,0,0,0,fallow,2.6,1.6,1.0,Bridelia retusa,keta kela,uuid:8bb8eafd-9587-4634-a545-70841c44dbe1/supl1_shrb_data[1],1
uuid:8bb8eafd-9587-4634-a545-70841c44dbe1,sri_lanka,matale,13,1,matale_13_1,80.6636,7.52177,2021,0,footslope,thicket,0,1,0,1,0,0,0,0,0,0,0,0,fallow,2.2,1.3,0.9,Croton laccifer,kappetiya,uuid:8bb8eafd-9587-4634-a545-70841c44dbe1/supl1_shrb_data[2],1
uuid:4a88cd08-63c4-48a6-8b6b-83c0770f47f2,sri_lanka,matale,8,8,matale_8_8,80.6254,7.58025,2021,1,bottomland,woodland,0,0,1,0,0,0,0,0,0,0,0,0,woodlot,2.2,1.5,1.2,Psidium guajava,pera,uuid:4a88cd08-63c4-48a6-8b6b-83c0770f47f2/supl1_shrb_data[1],1
uuid:4857ab86-6c54-4e83-870a-3cf0fac4a053,sri_lanka,matale,11,14,matale_11_14,80.6492,7.55971,2021,1,midslope,woodland,0,1,1,1,0,0,0,0,0,0,0,0,perennial_agroforestry,1.9,1.1,1.0,Coffea arabica,kopi,uuid:4857ab86-6c54-4e83-870a-3cf0fac4a053/supl1_shrb_data[1],1
uuid:4857ab86-6c54-4e83-870a-3cf0fac4a053,sri_lanka,matale,11,14,matale_11_14,80.6492,7.55971,2021,1,midslope,woodland,0,1,1,1,0,0,0,0,0,0,0,0,perennial_agroforestry,1.7,1.2,1.0,Coffea arabica,kopi,uuid:4857ab86-6c54-4e83-870a-3cf0fac4a053/supl1_shrb_data[2],1
uuid:4857ab86-6c54-4e83-870a-3cf0fac4a053,sri_lanka,matale,11,14,matale_11_14,80.6492,7.55971,2021,1,midslope,woodland,0,1,1,1,0,0,0,0,0,0,0,0,perennial_agroforestry,2.4,1.7,1.2,Mangifera indica,amba,uuid:4857ab86-6c54-4e83-870a-3cf0fac4a053/supl1_shrb_data[3],1
uuid:4857ab86-6c54-4e83-870a-3cf0fac4a053,sri_lanka,matale,11,14,matale_11_14,80.6492,7.55971,2021,1,midslope,woodland,0,1,1,1,0,0,0,0,0,0,0,0,perennial_agroforestry,2.0,1.3,0.9,Coffea arabica,kopi,uuid:4857ab86-6c54-4e83-870a-3cf0fac4a053/supl1_shrb_data[4],1
uuid:4857ab86-6c54-4e83-870a-3cf0fac4a053,sri_lanka,matale,11,14,matale_11_14,80.6492,7.55971,2021,1,midslope,woodland,0,1,1,1,0,0,0,0,0,0,0,0,perennial_agroforestry,2.4,3.6,2.6,Theobroma cacao,kokowa,uuid:4857ab86-6c54-4e83-870a-3cf0fac4a053/supl1_shrb_data[5],1
uuid:2e55bdaa-9e75-4963-b5b7-1cb064663ccc,sri_lanka,matale,8,5,matale_8_5,80.6224,7.58124,2021,1,footslope,bushland,0,0,1,1,0,0,0,0,0,1,0,0,fallow,2.8,1.6,1.6,Hevea brasiliensis,rubber,uuid:2e55bdaa-9e75-4963-b5b7-1cb064663ccc/supl1_shrb_data[1],1
